experiment,instructions,function
no-prefetch,52,av_frame_side_data_add
no-prefetch,40,av_refstruct_pool_alloc
no-prefetch,40,ff_h264chroma_init_x86
no-prefetch,38,av_gcd
no-prefetch,34,avcodec_flush_buffers
no-prefetch,34,ff_er_init
no-prefetch,30,av_get_cpu_flags
no-prefetch,29,ff_videodsp_init_x86
no-prefetch,27,ff_h264_flush_change
no-prefetch,26,av_memdup
no-prefetch,23,ff_h264chroma_init
no-prefetch,22,avcodec_default_get_format
no-prefetch,19,ff_decode_flush_buffers
no-prefetch,19,ff_set_sar
no-prefetch,18,av_malloc_array
no-prefetch,18,av_pix_fmt_get_chroma_sub_sample
no-prefetch,18,av_realloc_array
no-prefetch,13,av_bsf_flush
no-prefetch,13,bsf_list_flush
no-prefetch,13,ff_hwaccel_uninit
no-prefetch,12,av_frame_side_data_desc
no-prefetch,11,av_get_pix_fmt_name
no-prefetch,10,ff_h264_slice_context_init
no-prefetch,9,ff_videodsp_init
no-prefetch,8,av_codec_is_encoder
no-prefetch,7,av_frame_new_side_data_from_buf
no-prefetch,3,av_buffer_default_free
